"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"q05","numeric","717.4","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"q25","integer","1275","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"median","integer","2050","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"q75","integer","3150","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"q95","numeric","4645.6","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"max","integer","5382","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"mean","numeric","2292.39227340267","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"sd","numeric","1249.2157673487","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age group","0 to 15","count","integer","673","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age group","0 to 15","percentage","integer","100","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Calicum channel blockers","Flag","count","integer","1","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Calicum channel blockers","Flag","percentage","percentage","0.148588410104012","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antineoplastic agents","Flag","count","integer","2","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antineoplastic agents","Flag","percentage","percentage","0.297176820208024","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Diuretics","Flag","count","integer","1","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Diuretics","Flag","percentage","percentage","0.148588410104012","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Diuretics","Flag","count","integer","1","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Diuretics","Flag","percentage","percentage","0.148588410104012","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antidepressants","Flag","count","integer","4","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antidepressants","Flag","percentage","percentage","0.594353640416048","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs used in diabetes","Flag","count","integer","1","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs used in diabetes","Flag","percentage","percentage","0.148588410104012","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Lipid modifying agents","Flag","count","integer","0","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Lipid modifying agents","Flag","percentage","percentage","0","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs used in diabetes","Flag","count","integer","1","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs used in diabetes","Flag","percentage","percentage","0.148588410104012","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs for obstru airway dis","Flag","count","integer","200","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs for obstru airway dis","Flag","percentage","percentage","29.7176820208024","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Beta blocking agents","Flag","count","integer","4","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Beta blocking agents","Flag","percentage","percentage","0.594353640416048","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Agents renin sys","Flag","count","integer","1","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Agents renin sys","Flag","percentage","percentage","0.148588410104012","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Hormonal contraceptices sys","Flag","count","integer","2","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Hormonal contraceptices sys","Flag","percentage","percentage","0.297176820208024","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Opioids","Flag","count","integer","6","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Opioids","Flag","percentage","percentage","0.891530460624071","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs acid related disorder","Flag","count","integer","52","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs acid related disorder","Flag","percentage","percentage","7.72659732540862","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Calicum channel blockers","Flag","count","integer","1","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Calicum channel blockers","Flag","percentage","percentage","0.148588410104012","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Immunosupressants","Flag","count","integer","3","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Immunosupressants","Flag","percentage","percentage","0.445765230312036","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Agents renin sys","Flag","count","integer","1","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Agents renin sys","Flag","percentage","percentage","0.148588410104012","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiepileptics","Flag","count","integer","5","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiepileptics","Flag","percentage","percentage","0.742942050520059","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs acid related disorder","Flag","count","integer","52","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs acid related disorder","Flag","percentage","percentage","7.72659732540862","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Beta blocking agents","Flag","count","integer","4","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Beta blocking agents","Flag","percentage","percentage","0.594353640416048","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Immunosupressants","Flag","count","integer","3","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Immunosupressants","Flag","percentage","percentage","0.445765230312036","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antineoplastic agents","Flag","count","integer","2","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antineoplastic agents","Flag","percentage","percentage","0.297176820208024","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psycholeptics","Flag","count","integer","23","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psycholeptics","Flag","percentage","percentage","3.41753343239227","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psychostimulants","Flag","count","integer","3","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psychostimulants","Flag","percentage","percentage","0.445765230312036","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antibacterials sys","Flag","count","integer","459","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antibacterials sys","Flag","percentage","percentage","68.2020802377415","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antibacterials sys","Flag","count","integer","459","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antibacterials sys","Flag","percentage","percentage","68.2020802377415","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antidepressants","Flag","count","integer","4","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antidepressants","Flag","percentage","percentage","0.594353640416048","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs for obstru airway dis","Flag","count","integer","200","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Drugs for obstru airway dis","Flag","percentage","percentage","29.7176820208024","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Hormonal contraceptices sys","Flag","count","integer","2","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Hormonal contraceptices sys","Flag","percentage","percentage","0.297176820208024","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Lipid modifying agents","Flag","count","integer","0","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Lipid modifying agents","Flag","percentage","percentage","0","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Opioids","Flag","count","integer","6","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Opioids","Flag","percentage","percentage","0.891530460624071","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psycholeptics","Flag","count","integer","23","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psycholeptics","Flag","percentage","percentage","3.41753343239227","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antithrombotics","Flag","count","integer","0","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antithrombotics","Flag","percentage","percentage","0","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiinflam antirheumatic","Flag","count","integer","216","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiinflam antirheumatic","Flag","percentage","percentage","32.0950965824666","table and window","medications and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiepileptics","Flag","count","integer","5","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiepileptics","Flag","percentage","percentage","0.742942050520059","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiinflam antirheumatic","Flag","count","integer","216","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antiinflam antirheumatic","Flag","percentage","percentage","32.0950965824666","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psychostimulants","Flag","count","integer","3","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Psychostimulants","Flag","percentage","percentage","0.445765230312036","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antithrombotics","Flag","count","integer","0","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Antithrombotics","Flag","percentage","percentage","0","table and window","medications and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Gastroesophageal reflux disease","Flag","count","integer","3","table and window","conditions and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Gastroesophageal reflux disease","Flag","percentage","percentage","0.445765230312036","table and window","conditions and -30 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Gastroesophageal reflux disease","Flag","count","integer","3","table and window","conditions and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Gastroesophageal reflux disease","Flag","percentage","percentage","0.445765230312036","table and window","conditions and -365 to -1"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Hypertension","Flag","count","integer","0","table and window","conditions and -30 to -1"
